Name,Email,Genres,Artist,Gender,Favourite
Shrijit,shrijitpendse@gmail.com,"['sds', 'dsdsd', 'dsd']","['The Weeknd', 'Post Malone']",Male,
Ariel,xyz@gmail.com,"['sdf', 'fdffd', 'dwewe']","['Martin Garrix', 'Avicii']",Female,
Team,unknown@known.com,dance_pop,"['The Weeknd', 'Taylor Swift', 'BTS']",Male,
Name,new@login.com,"['dutch_edm', 'pop']","['Rihanna', 'Travis Scott']",Male,
Other,unknown@known.com,edm,"['BTS', 'Kanye West', 'Ozuna', 'XXXTENTACION']",Other,
Team,tune@ai.com,"['dance_pop', 'edm', 'dutch_edm']","['Eminem', 'Taylor Swift', 'J Balvin']",Male,
Tester,123@test.com,"['dance_pop', 'edm']","['The Weeknd', 'Post Malone']",Male,
CA,new@login.com,['dance_pop'],['Taylor Swift'],[],
CACACA,New@new.com,"['dance_pop', 'edm']","['The Weeknd', 'Post Malone']",Male,
DEF,diff@diff.com,['metal'],"['The Weeknd', 'Eminem', 'Juice WRLD']",Male,
hi,was@benn.com,"['pop', 'metal']","['Justin Bieber', 'Eminem', 'Kanye West']",Male
